"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT18","WT22"
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-01","15.43",,"0.00","0.0","0.0",,"41","27",,"  260","  320","23.9","34.9",,,,,,,,,,,,"    1",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-02","13.65",,"0.00","0.0","0.0",,"34","23",,"  320","  310","23.9","28.0",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-03","11.18",,"0.00","0.0","0.0",,"34","25",,"  260","  270","17.9","25.9",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-04","15.43",,"0.00","0.0","0.0",,"39","33",,"  270","  270","23.9","31.1",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-05","9.84",,"0.00","0.0","0.0",,"43","34",,"  330","  320","28.0","33.1",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-06","9.84",,"0.00","0.0","0.0",,"47","34",,"  260","  300","17.9","23.9",,,,,,,,,,,,,"    1",
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-07","9.17",,"0.00","0.0","0.0",,"45","38",,"  310","  290","17.9","23.0",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-08","8.28",,"0.00","0.0","0.0",,"49","37",,"  220","  220","19.9","23.9",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-09","8.95",,"0.00","0.0","0.0",,"51","36",,"  270","  250","25.1","36.0",,,,,,,"    1",,"    1",,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-10","11.86",,"0.00","0.0","0.0",,"48","40",,"  290","  280","25.1","34.9",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-11","7.16",,"0.49","0.0","0.0",,"45","37",,"   50","   60","12.1","19.9","    1",,,,,,,,"    1",,,"    1",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-12","6.26",,"0.05","0.0","0.0",,"46","42",,"   70","   70","13.0","15.0","    1",,,,,,,,"    1","    1",,"    1",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-13","5.37",,"0.00","0.0","0.0",,"50","42",,"  170","  160","13.0","16.1","    1","    1",,,,,,,"    1","    1",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-14","8.72",,"0.06","0.0","0.0",,"55","39",,"  330","  330","19.9","28.0","    1",,,,,,,,"    1","    1",,"    1",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-15","8.05",,"0.11","0.0","0.0",,"40","36",,"   10","   10","14.1","17.0",,,,"    1",,,,,,,,"    1",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-16","7.61",,"0.67","0.1","0.0",,"40","33",,"  320","  320","21.0","23.9",,,,"    1",,,,,"    1",,,"    1",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-17","10.51",,"0.00","0.0","0.0",,"44","36",,"  310","  310","21.0","23.9",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-18","11.41",,"0.00","0.0","0.0",,"36","26",,"  310","  300","19.9","25.1",,,,,,,,,,,,,"    1",
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-19","14.09",,"0.00","0.0","0.0",,"52","31",,"  210","  220","21.9","30.0",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-20","17.00",,"0.00","0.0","0.0",,"54","31",,"  290","  290","34.9","48.1",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-21","9.17",,"0.00","0.0","0.0",,"32","28",,"  300","  320","21.9","30.0",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-22","19.91",,"0.00","0.0","0.0",,"29","15",,"  300","  270","25.9","36.0",,,,,,,,,,,,,"    1",
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-23","14.09",,"0.00","0.0","0.0",,"20","12",,"  320","  300","23.9","29.1",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-24","15.66",,"0.00","0.0","0.0",,"25","15",,"  340","  330","30.0","38.0",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-25","8.50",,"0.04","0.7","0.0",,"25","14",,"  300","  310","23.9","30.0",,,,,,,"    1",,"    1",,,,"    1",
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-26","14.54",,"0.00","0.0","1.0",,"29","18",,"  330","  340","23.0","31.1",,,,,,,"    1",,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-27","10.96",,"0.00","0.0","0.0",,"35","21",,"  300","  310","19.9","25.1",,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-28","7.61",,"0.22","0.2","0.0",,"37","29",,"  200","  200","15.0","19.9",,,,,,,"    1",,"    1",,,"    1","    1",
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-29","7.83",,"0.09","0.0","0.0",,"46","37",,"   50","   60","17.0","21.9",,,,,,,"    1",,"    1",,,"    1",,
"USW00014732","LA GUARDIA AIRPORT, NY US","2013-01-30","8.95",,"0.03","0.0","0.0",,"54","37",,"  170","  170","23.0","31.1",,"    1",,,,,"    1",,"    1",,,"    1",,
